antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Storage'}),"frozenset({'Paper', 'Binders'})",0.1552074857607811,0.05431244914564687,0.010577705451586655,0.06815203145478375,1.254814182141262,0.002148006774180521,1.014851759918244,0.2403776695252737
"frozenset({'Paper', 'Binders'})",frozenset({'Storage'}),0.05431244914564687,0.1552074857607811,0.010577705451586655,0.19475655430711608,1.2548141821412617,0.002148006774180521,1.0491144246598672,0.21473186955011006
frozenset({'Phones'}),"frozenset({'Paper', 'Binders'})",0.16314076484947113,0.05431244914564687,0.010781122864117169,0.06608478802992519,1.216752127172705,0.0019205483696483339,1.0126053615289603,0.21286724575999114
"frozenset({'Paper', 'Binders'})",frozenset({'Phones'}),0.05431244914564687,0.16314076484947113,0.010781122864117169,0.19850187265917604,1.2167521271727049,0.0019205483696483339,1.0441187653513608,0.18837079996915537
"frozenset({'Paper', 'Phones'})",frozenset({'Binders'}),0.03437754271765663,0.2626118795768918,0.010781122864117169,0.3136094674556213,1.1941937583360451,0.001753171755798472,1.0742982099267697,0.16840427519267379
frozenset({'Binders'}),"frozenset({'Paper', 'Phones'})",0.2626118795768918,0.03437754271765663,0.010781122864117169,0.041053446940356314,1.1941937583360451,0.001753171755798472,1.0069617062613128,0.22052830188679243
frozenset({'Paper'}),"frozenset({'Binders', 'Phones'})",0.23637103336045565,0.03966639544344996,0.010781122864117169,0.04561101549053357,1.1498653956485285,0.0014051359834644332,1.0062287182098388,0.17067580744061694
"frozenset({'Binders', 'Phones'})",frozenset({'Paper'}),0.03966639544344996,0.23637103336045565,0.010781122864117169,0.27179487179487183,1.1498653956485283,0.0014051359834644332,1.0486454119345856,0.1357163696530557
"frozenset({'Paper', 'Storage'})",frozenset({'Binders'}),0.035394629780309196,0.2626118795768918,0.010577705451586655,0.29885057471264365,1.1379933580847064,0.0012826551980514283,1.0516846963411544,0.12570969730396117
frozenset({'Binders'}),"frozenset({'Paper', 'Storage'})",0.2626118795768918,0.035394629780309196,0.010577705451586655,0.04027885360185902,1.1379933580847064,0.0012826551980514283,1.005089211423423,0.16444562334217486
frozenset({'Fasteners'}),frozenset({'Paper'}),0.043124491456468676,0.23637103336045565,0.011594792514239219,0.2688679245283019,1.137482544734193,0.0014014119055295766,1.0444473608231188,0.126312805824084
frozenset({'Paper'}),frozenset({'Fasteners'}),0.23637103336045565,0.043124491456468676,0.011594792514239219,0.04905335628227195,1.1374825447341927,0.0014014119055295766,1.0062346976720211,0.15827795380833537
"frozenset({'Binders', 'Storage'})",frozenset({'Paper'}),0.03966639544344996,0.23637103336045565,0.010577705451586655,0.26666666666666666,1.1281698221457257,0.0012017185709339191,1.0413122272357422,0.11830120737131962
frozenset({'Paper'}),"frozenset({'Binders', 'Storage'})",0.23637103336045565,0.03966639544344996,0.010577705451586655,0.04475043029259897,1.1281698221457257,0.0012017185709339191,1.005322205851091,0.1487746403835908
frozenset({'Storage'}),frozenset({'Labels'}),0.1552074857607811,0.0691619202603743,0.012001627339300243,0.07732634338138926,1.1180479531262046,0.0012671795852999216,1.0088486574450772,0.12498214482485596
frozenset({'Labels'}),frozenset({'Storage'}),0.0691619202603743,0.1552074857607811,0.012001627339300243,0.17352941176470585,1.1180479531262044,0.0012671795852999216,1.0221688784389125,0.11342894393741844
frozenset({'Fasteners'}),frozenset({'Binders'}),0.043124491456468676,0.2626118795768918,0.01240846216436127,0.28773584905660377,1.0956695847887405,0.0010834584071804185,1.0352733876139002,0.09125125460020064
frozenset({'Binders'}),frozenset({'Fasteners'}),0.2626118795768918,0.043124491456468676,0.01240846216436127,0.047250193648334625,1.0956695847887405,0.0010834584071804185,1.0043303101867471,0.11841266252119832
frozenset({'Appliances'}),frozenset({'Binders'}),0.09011391375101709,0.2626118795768918,0.02563059397884459,0.28442437923250563,1.0830598360240105,0.001965609712660077,1.0304824522001166,0.08428525296399204
frozenset({'Binders'}),frozenset({'Appliances'}),0.2626118795768918,0.09011391375101709,0.02563059397884459,0.0975987606506584,1.0830598360240105,0.001965609712660077,1.0082943668218343,0.10400218938149972
frozenset({'Tables'}),frozenset({'Phones'}),0.061432058584214806,0.16314076484947113,0.010577705451586655,0.17218543046357615,1.0554408680286038,0.0005556324278803339,1.0109259560618389,0.05596679003701108
frozenset({'Phones'}),frozenset({'Tables'}),0.16314076484947113,0.061432058584214806,0.010577705451586655,0.06483790523690772,1.0554408680286038,0.0005556324278803339,1.0036419853539462,0.06276878202011889
frozenset({'Appliances'}),frozenset({'Phones'}),0.09011391375101709,0.16314076484947113,0.015459723352318959,0.17155756207674944,1.051592238365711,0.0007584705393987572,1.010159785208949,0.053920011295845165
frozenset({'Phones'}),frozenset({'Appliances'}),0.16314076484947113,0.09011391375101709,0.015459723352318959,0.09476309226932668,1.051592238365711,0.0007584705393987572,1.0051358693824852,0.05862523347747094
frozenset({'Art'}),frozenset({'Phones'}),0.14625711960943857,0.16314076484947113,0.02481692432872254,0.16968011126564672,1.0400840735435402,0.0009564259709581475,1.0078756952650423,0.04514153357003622
frozenset({'Phones'}),frozenset({'Art'}),0.16314076484947113,0.14625711960943857,0.02481692432872254,0.15211970074812967,1.0400840735435402,0.0009564259709581475,1.006914397166515,0.04605226455844483
frozenset({'Furnishings'}),frozenset({'Phones'}),0.1739218877135883,0.16314076484947113,0.029292107404393815,0.16842105263157892,1.0323664522903266,0.0009183576187351862,1.006349713155699,0.037952474759911176
frozenset({'Phones'}),frozenset({'Furnishings'}),0.16314076484947113,0.1739218877135883,0.029292107404393815,0.1795511221945137,1.0323664522903266,0.0009183576187351862,1.0068611642153529,0.03746353913466195
frozenset({'Phones'}),frozenset({'Labels'}),0.16314076484947113,0.0691619202603743,0.011594792514239219,0.071072319201995,1.0276221211676688,0.0003116639445036231,1.002056563692859,0.0321196769268819
frozenset({'Labels'}),frozenset({'Phones'}),0.0691619202603743,0.16314076484947113,0.011594792514239219,0.1676470588235294,1.0276221211676688,0.0003116639445036231,1.0054139220889746,0.028876824929456323
frozenset({'Furnishings'}),frozenset({'Appliances'}),0.1739218877135883,0.09011391375101709,0.016069975589910496,0.09239766081871344,1.0253428907105988,0.0003971936010741216,1.0025162419367015,0.02992029773797673
